Client_IP,Download_Time_Seconds
10.129.26.103,160.83497381210327
10.129.26.154,169.72073602676392
10.129.26.155,157.1296100616455
10.129.26.72,144.1098120212555
10.129.26.74,129.24792408943176
10.129.26.87,148.36174607276917
10.129.28.105,175.79009199142456
10.129.28.106,154.82761693000793
10.129.28.180,149.5404930114746
10.129.28.207,160.80861496925354
10.129.28.223,172.69545197486877
10.129.28.223,164.224436044693
10.129.28.29,176.68765497207642
